City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Klaeng,TH,12.7797,101.6483,78.94,73,46,1.63,scattered clouds
299,Cozumel,MX,20.5083,-86.9458,77.11,56,1,16.11,clear sky
300,Roseburg,US,43.2165,-123.3417,46.89,98,40,0.0,mist
301,Kirakira,SB,-10.4544,161.9205,81.05,83,100,6.42,overcast clouds
302,Hamilton,US,39.1834,-84.5333,35.24,53,47,5.01,scattered clouds
303,Calderitas,MX,18.55,-88.25,77.11,53,1,9.22,clear sky
304,Klaksvik,FO,62.2266,-6.589,32.92,66,96,15.73,overcast clouds
305,Halifax,CA,44.6453,-63.5724,42.85,84,100,10.0,overcast clouds
306,Manama,BH,26.2154,50.5832,67.98,61,0,17.27,clear sky
307,Kenai,US,60.5544,-151.2583,15.15,90,99,6.26,overcast clouds
308,Tocopilla,CL,-22.092,-70.1979,71.65,69,81,2.57,broken clouds
309,Flinders,AU,-34.5833,150.8552,70.21,92,100,5.35,light rain
310,Mossendjo,CG,-2.9506,12.7261,74.43,92,98,1.21,light rain
311,Faanui,PF,-16.4833,-151.75,82.02,69,98,15.37,light rain
312,Polunochnoye,RU,60.8697,60.4153,-13.9,98,100,2.44,overcast clouds
313,Cascavel,BR,-24.9558,-53.4553,96.89,19,22,8.41,few clouds
314,Sangueya,GN,10.7,-14.3667,94.41,21,96,4.32,overcast clouds
315,Birin,NP,26.8865,88.0718,44.65,64,5,4.81,clear sky
316,Viransehir,TR,37.2353,39.7631,37.11,46,2,8.21,clear sky
317,Richards Bay,ZA,-28.783,32.0377,70.09,96,63,7.27,heavy intensity rain
318,Ardakan,IR,32.31,54.0175,50.38,22,0,9.91,clear sky
319,Pampierstad,ZA,-27.7832,24.6877,69.84,64,46,7.96,light rain
320,Pingliang,CN,35.5392,106.6861,33.89,45,39,3.11,scattered clouds
321,Aleysk,RU,52.4926,82.7822,10.09,100,76,3.94,broken clouds
322,Andenes,NO,69.3143,16.1194,37.38,81,75,24.16,broken clouds
323,Chervone,UA,49.9564,28.8645,16.27,86,100,9.6,overcast clouds
324,Haines Junction,CA,60.7522,-137.5108,-22.05,69,10,2.3,clear sky
325,Ambon,ID,-3.6954,128.1814,80.06,82,100,11.52,light rain
326,Cockburn Town,TC,21.4612,-71.1419,82.36,65,20,9.22,few clouds
327,Nizhnevartovsk,RU,60.9344,76.5531,24.82,86,90,17.9,overcast clouds
328,Toora-Khem,RU,52.4675,96.11,-6.14,100,99,0.65,overcast clouds
329,Manakara,MG,-22.1333,48.0167,77.95,92,50,12.24,scattered clouds
330,Eganville,CA,45.5334,-77.0994,30.51,67,37,12.93,scattered clouds
331,Sao Joaquim,BR,-28.2939,-49.9317,65.71,83,51,6.71,light rain
332,Araouane,ML,18.9048,-3.5265,79.93,11,84,9.91,broken clouds
333,Wagar,SD,16.1525,36.2032,77.18,53,3,16.31,clear sky
334,Mohacs,HU,45.9931,18.6831,35.06,75,35,0.85,scattered clouds
335,Hualmay,PE,-11.0964,-77.6139,73.44,70,51,9.17,broken clouds
336,Batagay,RU,67.6333,134.6333,-28.7,96,100,1.59,overcast clouds
337,Rio Grande,BR,-32.035,-52.0986,82.51,60,63,15.35,broken clouds
338,Chandbali,IN,20.7833,86.7667,63.81,57,0,4.21,clear sky
339,Jawhar,SO,2.7809,45.5005,78.33,66,100,16.87,overcast clouds
340,Walvis Bay,NA,-22.9575,14.5053,74.35,49,0,18.41,clear sky
341,Bengkulu,ID,-3.8004,102.2655,75.7,89,30,4.32,light rain
342,Rawson,AR,-43.3002,-65.1023,76.59,34,25,18.28,scattered clouds
343,Ketchikan,US,55.3422,-131.6461,17.4,84,17,6.78,few clouds
344,Beringovskiy,RU,63.05,179.3167,18.66,95,100,30.0,snow
345,Lavrentiya,RU,65.5833,-171.0,-2.13,88,100,16.42,overcast clouds
346,Arlit,NE,18.7369,7.3853,74.7,11,87,8.16,overcast clouds
347,Livingstone,ZM,-17.8419,25.8543,69.64,86,100,2.93,overcast clouds
