City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Dawei,MM,69.06,scattered clouds,14.0833,98.2,Hotel Dawei
434,Biak,ID,77.68,overcast clouds,-0.9131,122.8766,Penginapan Kim
441,Charagua,BO,74.32,overcast clouds,-19.8,-63.2167,Hotel
442,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
443,Funadhoo,MV,81.27,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
446,Marawi,PH,66.65,broken clouds,7.9986,124.2928,Derogongan Residence
448,Sarangani,PH,79.21,overcast clouds,5.4033,125.4636,Ballistic Islet
449,Pringsewu,ID,73.85,scattered clouds,-5.3582,104.9744,Urban Style by Front One
450,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
451,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
452,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
453,Keti Bandar,PK,73.45,few clouds,24.1447,67.4497,Haji laloo memon house
455,Isangel,VU,78.55,few clouds,-19.55,169.2667,Tanna Lodge
458,Bubaque,GW,83.64,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
462,Necochea,AR,70.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
466,Mayumba,GA,79.39,broken clouds,-3.432,10.6554,LIKWALE LODGE
471,Alta Floresta,BR,81.36,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
472,Coihaique,CL,83.57,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
474,Puerto Cabezas,NI,82.49,overcast clouds,14.0351,-83.3888,Cabaña Caribe
477,Buala,SB,79.77,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
478,Nelson Bay,AU,75.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
479,Carmen,MX,78.84,scattered clouds,18.6333,-91.8333,Hotel Lossandes
481,Dingle,PH,74.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
482,Dzilam Gonzalez,MX,74.57,broken clouds,21.2833,-88.9333,posadas
484,Makakilo City,US,71.01,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
488,Bousse,BF,86.97,overcast clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
492,Inongo,CD,76.68,light rain,-1.95,18.2667,Hotel Du Lac
493,Omboue,GA,80.17,light rain,-1.5746,9.2618,Hotel Olako
494,Veraval,IN,70.61,few clouds,20.9,70.3667,Lords Inn Somnath
498,Puerto Plata,DO,85.84,few clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
499,San Cristobal,VE,82.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
500,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
501,Pandan,PH,77.88,overcast clouds,14.0453,124.1694,Bonifacio Lodge
504,Kahului,US,66.97,moderate rain,20.8947,-156.47,Maui Seaside Hotel
507,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
510,Bilma,NE,68.61,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
515,Rodrigues Alves,BR,84.51,overcast clouds,-7.738,-72.6509,Pousada Aconchego
517,Piacabucu,BR,83.21,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
521,Menongue,AO,72.55,broken clouds,-14.6585,17.691,Ritz Lauca
522,Puerto Colombia,CO,83.12,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
523,Marrakesh,MA,69.87,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
524,Benguela,AO,78.37,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
525,Iracoubo,GF,75.36,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
